Date,Restaurant,num_fish,num_chicken,num_vegetarian,num_meat,pcs_Not Mapped,num_vegan,carbon_emissions_sum
2023-05-11,620 Exactum,0.0,74.0,19.0,20.0,0.0,119.0,136.05
2023-05-12,600 Chemicum,159.0,14.0,0.0,249.0,0.0,195.0,429.92
2023-05-12,610 Physicum,2.0,15.0,22.0,8.0,0.0,17.0,56.65
2023-05-12,620 Exactum,58.0,19.0,0.0,0.0,0.0,74.0,102.03
2023-05-15,600 Chemicum,100.0,0.0,0.0,96.0,0.0,239.0,257.39
2023-05-15,610 Physicum,20.0,24.0,16.0,6.0,0.0,20.0,65.81
2023-05-15,620 Exactum,0.0,0.0,0.0,24.0,0.0,82.0,71.22
2023-05-16,600 Chemicum,186.0,0.0,0.0,114.0,0.0,375.0,424.74
2023-05-16,610 Physicum,22.0,20.0,20.0,5.0,0.0,14.0,63.68
2023-05-16,620 Exactum,0.0,0.0,7.0,11.0,0.0,54.0,45.14
2023-05-17,600 Chemicum,251.0,280.0,0.0,1.0,0.0,146.0,411.3
2023-05-17,610 Physicum,1.0,17.0,15.0,5.0,0.0,16.0,39.52
2023-05-17,620 Exactum,71.0,0.0,0.0,0.0,0.0,71.0,83.82
2023-05-19,600 Chemicum,167.0,0.0,0.0,252.0,0.0,223.0,398.0
2023-05-22,600 Chemicum,144.0,0.0,0.0,388.0,0.0,258.0,642.7
2023-05-22,610 Physicum,0.0,8.0,19.0,11.0,0.0,8.0,35.7
2023-05-23,600 Chemicum,256.0,0.0,0.0,16.0,0.0,448.0,358.52
2023-05-23,610 Physicum,2.0,13.0,20.0,22.0,0.0,14.0,51.7
2023-05-24,600 Chemicum,317.0,200.0,0.0,0.0,0.0,260.0,549.53
2023-05-24,610 Physicum,5.0,13.0,23.0,10.0,0.0,14.0,52.31
2023-05-25,600 Chemicum,189.0,365.0,0.0,33.0,0.0,234.0,557.13
2023-05-25,610 Physicum,2.0,26.0,12.0,4.0,0.0,22.0,49.4
2023-05-26,600 Chemicum,231.0,0.0,0.0,283.0,0.0,227.0,545.24
2023-05-26,610 Physicum,6.0,15.0,18.0,12.0,0.0,16.0,53.47
2023-05-29,600 Chemicum,201.0,0.0,9.0,363.0,0.0,188.0,524.72
2023-05-29,610 Physicum,3.0,22.0,15.0,1.0,0.0,17.0,43.97
2023-05-30,600 Chemicum,87.0,0.0,0.0,0.0,0.0,511.0,339.18
2023-05-30,610 Physicum,3.0,42.0,21.0,7.0,0.0,18.0,69.69
2023-05-31,600 Chemicum,122.0,326.0,0.0,0.0,0.0,345.0,430.98
2023-05-31,610 Physicum,1.0,10.0,21.0,7.0,0.0,15.0,42.52
2023-06-01,600 Chemicum,109.0,327.0,0.0,68.0,0.0,341.0,694.33
2023-06-01,610 Physicum,2.0,6.0,16.0,10.0,0.0,14.0,37.52
2023-06-02,600 Chemicum,174.0,309.0,0.0,0.0,0.0,272.0,443.51
2023-06-02,610 Physicum,1.0,15.0,19.0,7.0,0.0,13.0,40.27
2023-06-05,600 Chemicum,139.0,21.0,0.0,303.0,0.0,319.0,568.14
2023-06-05,610 Physicum,10.0,15.0,9.0,0.0,0.0,13.0,35.44
2023-06-06,600 Chemicum,332.0,0.0,0.0,68.0,0.0,379.0,574.75
2023-06-06,610 Physicum,14.0,11.0,7.0,1.0,0.0,5.0,30.45
2023-06-07,600 Chemicum,8.0,258.0,0.0,10.0,0.0,240.0,284.88
2023-06-07,610 Physicum,8.0,16.0,13.0,6.0,0.0,14.0,45.94
2023-06-08,600 Chemicum,41.0,65.0,0.0,199.0,0.0,265.0,335.65
2023-06-08,610 Physicum,0.0,24.0,11.0,6.0,0.0,11.0,39.29
2023-06-09,600 Chemicum,215.0,0.0,0.0,258.0,0.0,235.0,433.47
2023-06-09,610 Physicum,0.0,11.0,16.0,8.0,0.0,17.0,39.59
2023-06-12,600 Chemicum,128.0,0.0,0.0,435.0,0.0,229.0,497.63
2023-06-12,610 Physicum,0.0,20.0,20.0,5.0,0.0,13.0,46.96
2023-06-13,600 Chemicum,276.0,2.0,0.0,16.0,0.0,403.0,392.61
2023-06-13,610 Physicum,0.0,20.0,15.0,7.0,0.0,7.0,38.76
2023-06-14,600 Chemicum,243.0,264.0,0.0,0.0,0.0,228.0,442.72
2023-06-14,610 Physicum,0.0,10.0,19.0,17.0,0.0,11.0,43.63
2023-06-15,600 Chemicum,378.0,162.0,0.0,6.0,0.0,183.0,547.93
2023-06-15,610 Physicum,0.0,10.0,15.0,15.0,0.0,19.0,43.31
2023-06-16,600 Chemicum,127.0,264.0,0.0,0.0,0.0,419.0,418.02
2023-06-16,610 Physicum,0.0,7.0,12.0,10.0,0.0,6.0,25.47
2023-06-19,600 Chemicum,199.0,17.0,0.0,278.0,0.0,212.0,503.72
2023-06-20,600 Chemicum,60.0,171.0,0.0,53.0,0.0,440.0,410.01
2023-06-21,600 Chemicum,82.0,342.0,0.0,0.0,0.0,237.0,451.25
2023-06-22,600 Chemicum,170.0,150.0,0.0,0.0,0.0,242.0,339.95
2023-06-26,600 Chemicum,78.0,1.0,0.0,44.0,0.0,246.0,212.19
2023-06-27,600 Chemicum,12.0,0.0,10.0,0.0,0.0,341.0,176.83
2023-06-28,600 Chemicum,196.0,230.0,25.0,0.0,0.0,134.0,365.74
2023-06-29,600 Chemicum,235.0,101.0,1.0,2.0,0.0,166.0,353.95
2023-06-30,600 Chemicum,60.0,201.0,0.0,6.0,0.0,210.0,275.24
2023-07-03,600 Chemicum,71.0,1.0,0.0,210.0,0.0,139.0,255.05
